#,Name,Center,Year,"Area
(kmÂ²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bakhmach,Bakhmach,,1488,56507,38,,,
2,Bobrovytsia,Bobrovytsia,,1418,41184,29,,,
3,Borzna,Borzna,,1608,43698,27,,,
4,Varva,Varva,,590,20005,34,,,
5,Horodnia,Horodnia,,1566,36306,23,,,
6,Ichnia,Ichnia,,1576,41134,26,,,
7,Kozelets,Kozelets,,2600,61652,24,,,
8,Korop,Korop,,1312,32122,24,,,
9,Koriukivka,Koriukivka,,1424,33676,24,,,
10,Kulykivka,Kulykivka,,944,22544,24,,,
11,Mena,Mena,,1377,45592,33,,,
12,Nizhyn,Nizhyn,,1514,36506,24,,,
13,Novhorod-Siverskyi,Novhorod-Siverskyi,,1804,36091,20,,,
14,Nosivka,Nosivka,,1152,37553,33,,,
15,Pryluky,Pryluky,,1796,45042,25,,,
16,Ripky,Ripky,,2106,37614,18,,,
17,Semenivka,Semenivka,,1470,23505,16,,,
18,Sosnytsia,Sosnytsia,,916,24878,27,,,
19,Sribne,Sribne,,579,14577,25,,,
20,Talalaivka,Talalaivka,,633,16726,26,,,
21,Chernihiv,Chernihiv,,2555,61296,24,,,
22,Snovsk,Snovsk,,1283,30572,24,,,
